,features,F_Scores
96,onset_rate,289.74468947528794
77,var_fo_mfcc25,133.42811741287574
63,var_fo_mfcc11,129.79916972930883
25,mean_mfcc01,129.5102350575201
75,var_fo_mfcc23,127.72215260607302
68,var_fo_mfcc16,125.43728653064193
67,var_fo_mfcc15,124.19740049377339
65,var_fo_mfcc13,122.18922382074176
72,var_fo_mfcc20,120.21123130336692
76,var_fo_mfcc24,119.46663469189731
19,mean_spro,119.07945122744503
62,var_fo_mfcc10,118.25099840648888
64,var_fo_mfcc12,117.83255371446444
73,var_fo_mfcc21,117.21904025840024
71,var_fo_mfcc19,116.81549690870914
74,var_fo_mfcc22,115.97253637614968
66,var_fo_mfcc14,110.49814100777111
70,var_fo_mfcc18,110.35595502919863
69,var_fo_mfcc17,109.14985985953581
0,mean_spce,107.13595569671008
61,var_fo_mfcc09,105.13903909412468
8,mean_spco07,103.76465758535207
60,var_fo_mfcc08,100.84800580458065
58,var_fo_mfcc06,98.22653930375498
59,var_fo_mfcc07,88.83409836683319
57,var_fo_mfcc05,81.65875029048428
98,var_spflux,72.20784374803836
54,var_fo_mfcc02,68.30494837141951
53,var_fo_mfcc01,65.80767577688178
97,mean_spflux,61.80464393969316
32,mean_mfcc08,60.55063002918902
2,var_fo_spce,56.404725415576756
28,mean_mfcc04,55.05601858756368
21,var_fo_spro,53.90720639733973
30,mean_mfcc06,52.751720404089056
14,var_fo_spco03,52.348930517572036
29,mean_mfcc05,50.637468652428765
22,mean_zcr,48.99819662743031
16,var_fo_spco05,46.00150101245173
95,rms,43.906014748970385
27,mean_mfcc03,41.21077909345694
26,mean_mfcc02,40.152738424463216
15,var_fo_spco04,39.784386022427384
56,var_fo_mfcc04,38.92046851768127
24,var_fo_zcr,37.73009884986839
13,var_fo_spco02,37.51346520590035
1,var_spce,37.2744567724997
55,var_fo_mfcc03,36.600992862429045
20,var_spro,31.744301167137788
82,mean_chroma09,31.672535825610463
3,mean_spco02,31.16790719574415
39,mean_mfcc17,30.28272089952151
4,mean_spco03,29.62513457961981
41,mean_mfcc21,29.138622072082043
38,mean_mfcc15,27.935140373498648
93,var_chroma11,25.722755059320797
92,var_chroma10,25.0751355841813
80,mean_chroma07,24.462333752127005
34,mean_mfcc10,24.105538845440154
83,var_chroma01,24.034738292682423
17,var_fo_spco06,23.98471281735554
78,mean_chroma02,23.923926520309017
31,mean_mfcc07,23.2278858620297
45,var_mfcc06,23.192509245418528
6,mean_spco05,22.78645037471615
90,var_chroma08,22.684783142476572
5,mean_spco04,22.064709290065462
88,var_chroma06,21.295896349834067
18,var_fo_spco07,21.241513713646494
94,var_chroma12,20.61248251709488
87,var_chroma05,20.272752684851735
49,mean_fo_mfcc03,19.044853880512637
40,mean_mfcc19,16.18057147982674
43,var_mfcc01,15.603184921958968
86,var_chroma04,15.396126072395294
35,mean_mfcc12,14.955201629838491
12,var_fo_spco01,14.010075710958152
79,mean_chroma04,13.66615711631193
51,mean_fo_mfcc06,13.440369042987237
91,var_chroma09,13.30125364178703
44,var_mfcc05,12.95327538952826
50,mean_fo_mfcc04,12.908256969936874
42,mean_mfcc23,12.42343261120962
23,var_zcr,11.317511509665364
47,var_mfcc09,11.292621145337336
48,mean_fo_mfcc02,10.586719192466786
46,var_mfcc08,10.401005380155109
10,mean_fo_spco02,10.341891821100711
99,mean_hfc,10.332839850113054
37,mean_mfcc14,10.240606905715929
7,mean_spco06,10.189819955969678
89,var_chroma07,9.637054510968998
52,mean_fo_mfcc08,9.598013764526161
84,var_chroma02,9.537758092531421
85,var_chroma03,9.292931125044639
81,mean_chroma08,7.8840812123254915
11,mean_fo_spco06,7.622932415255018
33,mean_mfcc09,7.618241641952752
9,var_spco02,7.579102409595373
36,mean_mfcc13,7.459570625326195
